"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2016,119,113,6,0,0,0,0,76,42,20,0,0,0,103,16
"Aberdeen, WA","10140",2016,364,355,9,0,0,0,0,71,37,21,0,0,0,364,0
"Adjuntas, PR","10260",2016,97,90,7,0,0,0,0,72,47,21,0,0,0,97,0
"Adrian, MI","10300",2016,361,286,73,2,0,0,0,119,58,40,0,0,163,198,0
"Akron, OH","10420",2016,366,254,111,1,0,0,0,112,61,44,0,0,129,237,0
"Albany, GA","10500",2016,363,263,100,0,0,0,0,93,59,36,0,0,0,363,0
"Albany, OR","10540",2016,366,333,33,0,0,0,0,78,50,19,0,0,0,366,0
"Albany-Schenectady-Troy, NY","10580",2016,366,310,53,3,0,0,0,119,58,37,0,0,283,83,0
"Albuquerque, NM","10740",2016,366,185,178,3,0,0,0,143,74,50,0,3,239,69,55
"Alexandria, LA","10780",2016,102,96,6,0,0,0,0,62,48,34,0,0,0,102,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2016,366,174,181,10,0,1,0,217,75,51,0,6,129,231,0
"Altoona, PA","11020",2016,366,285,79,2,0,0,0,122,59,40,0,0,196,166,4
"Amarillo, TX","11100",2016,366,323,42,1,0,0,0,112,54,41,0,0,333,33,0
"Americus, GA","11140",2016,245,218,26,1,0,0,0,101,54,39,0,0,245,0,0
"Ames, IA","11180",2016,212,198,14,0,0,0,0,77,48,35,0,0,212,0,0
"Anchorage, AK","11260",2016,366,251,111,4,0,0,0,128,69,38,0,0,130,147,89
"Ann Arbor, MI","11460",2016,366,293,67,6,0,0,0,122,60,40,0,0,253,113,0
"Appleton, WI","11540",2016,349,300,47,2,0,0,0,108,55,33,0,0,177,172,0
"Ardmore, OK","11620",2016,298,249,46,3,0,0,0,129,61,41,0,0,255,43,0
"Arkadelphia, AR","11660",2016,355,351,4,0,0,0,0,54,45,34,0,0,355,0,0
"Asheville, NC","11700",2016,366,272,83,7,4,0,0,167,64,43,0,0,190,176,0
"Ashtabula, OH","11780",2016,213,171,36,6,0,0,0,126,64,41,0,0,213,0,0
"Athens, OH","11900",2016,60,58,2,0,0,0,0,56,42,27,0,0,0,60,0
"Athens, TN","11940",2016,119,101,17,0,1,0,0,167,52,32,0,0,0,119,0
"Athens-Clarke County, GA","12020",2016,362,295,61,4,2,0,0,162,61,40,0,0,191,171,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2016,366,105,229,28,4,0,0,200,97,57,0,2,153,211,0
"Atlantic City-Hammonton, NJ","12100",2016,364,314,49,1,0,0,0,129,54,38,0,0,287,77,0
"Augusta-Richmond County, GA-SC","12260",2016,366,269,92,3,2,0,0,166,64,43,0,0,217,149,0
"Augusta-Waterville, ME","12300",2016,309,295,14,0,0,0,0,84,46,30,0,76,206,25,2
"Austin-Round Rock, TX","12420",2016,366,280,85,1,0,0,0,105,60,42,0,18,225,122,1
"Bakersfield, CA","12540",2016,366,70,180,102,14,0,0,169,136,80,0,0,231,128,7
"Baltimore-Columbia-Towson, MD","12580",2016,366,196,146,19,4,1,0,204,90,49,0,32,183,151,0
"Bangor, ME","12620",2016,366,320,46,0,0,0,0,75,54,36,0,0,193,173,0
"Baraboo, WI","12660",2016,366,328,37,1,0,0,0,101,51,32,0,0,183,179,4
"Barnstable Town, MA","12700",2016,362,337,24,1,0,0,0,115,47,36,0,0,353,9,0
"Bartlesville, OK","12780",2016,274,215,59,0,0,0,0,100,58,42,0,0,184,90,0
"Baton Rouge, LA","12940",2016,366,186,171,9,0,0,0,146,77,50,0,2,128,233,3
"Bay City, MI","13020",2016,355,320,35,0,0,0,0,81,50,28,0,0,0,355,0
"Beaumont-Port Arthur, TX","13140",2016,366,287,76,3,0,0,0,122,63,42,0,1,251,114,0
"Beaver Dam, WI","13180",2016,366,311,52,3,0,0,0,148,56,36,0,0,274,92,0
"Bellingham, WA","13380",2016,349,342,7,0,0,0,0,59,39,25,0,0,145,204,0
"Bemidji, MN","13420",2016,358,344,14,0,0,0,0,71,33,18,0,0,0,358,0
"Bend-Redmond, OR","13460",2016,327,322,5,0,0,0,0,61,37,22,0,0,0,327,0
"Bennington, VT","13540",2016,366,343,22,1,0,0,0,112,48,36,0,0,328,38,0
"Berlin, NH-VT","13620",2016,365,303,58,4,0,0,0,119,61,44,0,0,365,0,0
"Billings, MT","13740",2016,323,307,15,1,0,0,0,124,43,23,0,0,0,323,0
"Birmingham-Hoover, AL","13820",2016,366,191,164,10,1,0,0,151,77,49,0,16,149,198,3
"Bishop, CA","13860",2016,366,244,99,15,4,1,3,426,87,44,0,0,313,16,37
"Bismarck, ND","13900",2016,366,354,11,1,0,0,0,117,45,33,0,7,301,46,12
"Blacksburg-Christiansburg-Radford, VA","13980",2016,341,312,28,1,0,0,0,115,50,39,0,0,341,0,0
"Bloomington, IL","14010",2016,366,309,56,1,0,0,0,108,57,38,0,0,294,72,0
"Bloomington, IN","14020",2016,357,295,59,3,0,0,0,140,60,36,0,0,163,194,0
"Boise City, ID","14260",2016,366,218,134,13,1,0,0,155,80,46,0,6,160,196,4
"Boston-Cambridge-Newton, MA-NH","14460",2016,366,218,141,7,0,0,0,143,67,46,0,13,189,163,1
"Boulder, CO","14500",2016,204,190,14,0,0,0,0,97,48,35,0,0,108,80,16
"Bowling Green, KY","14540",2016,366,284,82,0,0,0,0,97,58,42,0,0,187,179,0
"Bozeman, MT","14580",2016,366,317,38,7,3,0,1,365,56,25,3,10,0,353,0
"Brainerd, MN","14660",2016,357,334,23,0,0,0,0,84,45,29,0,0,161,196,0
"Branson, MO","14700",2016,264,253,11,0,0,0,0,63,46,35,0,0,200,64,0
"Bremerton-Silverdale, WA","14740",2016,357,356,1,0,0,0,0,55,26,16,0,0,0,357,0
"Bridgeport-Stamford-Norwalk, CT","14860",2016,366,223,120,16,7,0,0,185,87,45,0,0,164,202,0
"Brookings, SD","15100",2016,365,342,22,1,0,0,0,101,47,34,0,0,292,48,25
"Brownsville-Harlingen, TX","15180",2016,366,277,87,2,0,0,0,110,63,40,0,0,172,194,0
"Brunswick, GA","15260",2016,343,314,27,2,0,0,0,129,49,35,0,0,182,161,0
"Buffalo-Cheektowaga-Niagara Falls, NY","15380",2016,366,283,77,6,0,0,0,136,61,42,0,22,203,141,0
"Burlington-South Burlington, VT","15540",2016,366,349,17,0,0,0,0,80,45,35,0,1,308,57,0
"Butte-Silver Bow, MT","15580",2016,366,310,56,0,0,0,0,94,59,22,0,0,0,315,51
"Cadillac, MI","15620",2016,366,324,35,7,0,0,0,126,52,37,0,0,317,49,0
"Cambridge, MD","15700",2016,366,303,60,3,0,0,0,122,59,40,0,0,270,96,0
"Canton-Massillon, OH","15940",2016,366,267,93,6,0,0,0,119,67,40,2,0,179,185,0
"Cape Coral-Fort Myers, FL","15980",2016,366,324,41,1,0,0,0,105,51,38,0,0,260,105,1
"Carlsbad-Artesia, NM","16100",2016,362,292,70,0,0,0,0,100,61,44,0,2,360,0,0
"Carson City, NV","16180",2016,366,303,63,0,0,0,0,93,61,42,0,0,327,39,0
"Casper, WY","16220",2016,366,333,33,0,0,0,0,80,50,41,0,13,346,5,2
"Ca¤on City, CO","15860",2016,52,52,0,0,0,0,0,50,24,14,0,0,0,0,52
"Cedar Rapids, IA","16300",2016,366,281,84,1,0,0,0,106,59,40,0,0,127,237,2
"Centralia, WA","16500",2016,366,355,11,0,0,0,0,66,33,19,0,0,0,366,0
"Chambersburg-Waynesboro, PA","16540",2016,337,325,12,0,0,0,0,74,44,33,0,0,337,0,0
"Champaign-Urbana, IL","16580",2016,366,302,64,0,0,0,0,100,58,39,0,0,265,101,0
"Charleston, WV","16620",2016,354,299,53,2,0,0,0,119,54,37,58,0,160,136,0
"Charleston-North Charleston, SC","16700",2016,360,310,45,3,2,0,0,158,53,37,0,4,182,172,2
"Charlotte-Concord-Gastonia, NC-SC","16740",2016,366,227,130,7,2,0,0,156,80,46,0,6,263,97,0
"Charlottesville, VA","16820",2016,366,322,43,1,0,0,0,122,52,36,0,0,177,189,0
"Chattanooga, TN-GA","16860",2016,359,227,127,2,3,0,0,177,67,47,0,0,200,159,0
"Cheyenne, WY","16940",2016,366,316,50,0,0,0,0,87,54,43,0,5,341,20,0
"Chicago-Naperville-Elgin, IL-IN-WI","16980",2016,366,153,185,23,4,1,0,217,87,54,0,43,120,181,22
"Chico, CA","17020",2016,366,169,181,16,0,0,0,127,86,52,0,0,199,167,0
"Cincinnati, OH-KY-IN","17140",2016,366,167,181,18,0,0,0,140,80,53,0,22,140,201,3
"Claremont-Lebanon, NH-VT","17200",2016,366,347,19,0,0,0,0,77,45,33,0,0,294,72,0
"Clarksburg, WV","17220",2016,117,110,7,0,0,0,0,62,48,31,0,0,0,117,0
"Clarksville, TN-KY","17300",2016,364,298,66,0,0,0,0,90,57,40,0,0,253,111,0
