"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2017,122,117,5,0,0,0,0,97,40,23,0,0,0,105,17
"Aberdeen, WA","10140",2017,365,344,18,2,1,0,0,159,43,20,0,0,0,365,0
"Adjuntas, PR","10260",2017,47,41,6,0,0,0,0,89,55,28,0,0,0,47,0
"Adrian, MI","10300",2017,364,302,61,1,0,0,0,101,58,40,0,0,207,157,0
"Akron, OH","10420",2017,365,268,97,0,0,0,0,97,60,40,0,0,186,179,0
"Albany, GA","10500",2017,356,272,83,0,1,0,0,151,59,38,0,0,0,356,0
"Albany, OR","10540",2017,365,295,61,4,5,0,0,177,61,24,0,0,0,365,0
"Albany-Schenectady-Troy, NY","10580",2017,365,306,59,0,0,0,0,90,53,39,0,0,256,109,0
"Albuquerque, NM","10740",2017,365,165,196,4,0,0,0,119,80,52,0,2,258,29,76
"Alexandria, LA","10780",2017,107,97,10,0,0,0,0,65,49,31,0,0,0,107,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2017,365,179,185,1,0,0,0,119,74,51,0,1,130,234,0
"Altoona, PA","11020",2017,362,291,71,0,0,0,0,88,58,42,0,0,221,141,0
"Amarillo, TX","11100",2017,365,284,80,1,0,0,0,105,61,43,0,0,343,22,0
"Americus, GA","11140",2017,241,229,12,0,0,0,0,67,47,35,0,0,241,0,0
"Anchorage, AK","11260",2017,365,286,73,5,1,0,0,155,62,31,1,0,166,133,65
"Ann Arbor, MI","11460",2017,365,284,78,3,0,0,0,119,61,40,0,0,240,125,0
"Appleton, WI","11540",2017,357,311,46,0,0,0,0,90,52,36,0,0,214,143,0
"Ardmore, OK","11620",2017,325,230,87,7,1,0,0,151,67,45,0,0,206,119,0
"Arkadelphia, AR","11660",2017,358,345,13,0,0,0,0,74,45,34,0,0,358,0,0
"Asheville, NC","11700",2017,365,296,69,0,0,0,0,84,58,43,0,0,222,143,0
"Ashtabula, OH","11780",2017,245,212,31,2,0,0,0,143,58,39,0,0,245,0,0
"Athens, OH","11900",2017,59,56,3,0,0,0,0,56,44,26,0,0,0,59,0
"Athens, TN","11940",2017,221,189,32,0,0,0,0,66,53,33,0,0,0,221,0
"Athens-Clarke County, GA","12020",2017,360,311,49,0,0,0,0,97,54,38,0,0,175,185,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2017,365,174,180,11,0,0,0,150,80,51,0,15,163,187,0
"Atlantic City-Hammonton, NJ","12100",2017,365,307,58,0,0,0,0,90,54,38,0,0,282,83,0
"Augusta-Richmond County, GA-SC","12260",2017,365,260,103,1,0,0,1,364,61,44,0,0,185,178,2
"Augusta-Waterville, ME","12300",2017,360,348,12,0,0,0,0,100,44,31,0,100,237,22,1
