"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2021,356,313,40,0,3,0,0,191,55,22,0,0,0,166,190
"Aberdeen, WA","10140",2021,365,359,6,0,0,0,0,80,32,20,0,0,0,365,0
"Adjuntas, PR","10260",2021,7,7,0,0,0,0,0,17,17,10,0,0,0,7,0
"Adrian, MI","10300",2021,322,246,76,0,0,0,0,93,61,40,0,0,171,151,0
"Akron, OH","10420",2021,356,264,89,3,0,0,0,108,67,40,0,0,185,171,0
"Albany, GA","10500",2021,352,263,85,4,0,0,0,133,65,39,0,0,0,352,0
"Albany, OR","10540",2021,365,313,51,1,0,0,0,136,56,25,0,0,0,365,0
"Albany-Schenectady-Troy, NY","10580",2021,365,304,59,2,0,0,0,118,55,37,0,0,237,128,0
"Albuquerque, NM","10740",2021,365,86,258,19,2,0,0,166,92,62,0,0,181,61,123
"Alexandria, LA","10780",2021,122,111,11,0,0,0,0,62,46,28,0,0,0,122,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2021,365,255,106,3,1,0,0,153,68,43,0,6,178,181,0
"Altoona, PA","11020",2021,336,264,70,2,0,0,0,120,59,38,0,0,120,216,0
"Amarillo, TX","11100",2021,364,287,74,3,0,0,0,119,64,43,0,0,329,35,0
"Americus, GA","11140",2021,245,228,17,0,0,0,0,74,49,35,0,0,245,0,0
"Anchorage, AK","11260",2021,365,293,68,3,1,0,0,160,57,25,0,0,0,250,115
"Ann Arbor, MI","11460",2021,365,278,87,0,0,0,0,100,61,40,0,0,228,137,0
"Appleton, WI","11540",2021,363,267,93,3,0,0,0,139,62,38,0,0,143,220,0
"Ardmore, OK","11620",2021,346,252,84,10,0,0,0,136,67,43,0,0,213,133,0
"Arkadelphia, AR","11660",2021,338,328,10,0,0,0,0,90,45,32,0,0,338,0,0
"Asheville, NC","11700",2021,365,297,68,0,0,0,0,93,61,40,0,0,215,150,0
"Ashtabula, OH","11780",2021,243,213,28,2,0,0,0,112,58,38,0,0,243,0,0
"Athens, OH","11900",2021,113,105,8,0,0,0,0,74,48,20,0,0,0,113,0
"Athens, TN","11940",2021,360,312,48,0,0,0,0,89,54,28,0,0,0,360,0
